FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
1051,922,ExactMatch,Exact,25,Crossroads / Pleasant Grove VFD,7275 Section Line Rd,Albertville,35950,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3404210409728,34.2580064669846
1052,643,ExactMatch,Exact, ,Baileyton Senior Center,195 Fire Station Rd,Baileyton,35019,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6152220495706,34.2654255576205
1053,918,ExactMatch,Exact,21,Mt. High / Lattiwood Community Center,577 Oneonta Cut-Off Rd,Albertville,35950,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2824047757854,34.2813485841395
1054,906,ExactMatch,Exact,4,Arab Senior Center,"800 N Main St,",Arab,35016,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4981048399315,34.3287064754187
1055,915,ExactMatch,Exact,17,Guntersville Recreation Center,1500 Sunset Dr,Guntersville,35976,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3158754894313,34.3526650776448
1056,904,ExactMatch,Approx,2,"Absentee, Circuit Clerk",425 Gunter Ave 2nd Floor,Guntersville,35976,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2930047833548,34.3603064901416
1057,909,ExactMatch,Exact,9,Cranford / Ruth VFD,3075 Mat Morrow Rd,Arab,35016,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5553048583462,34.3656868608065
1058,912,ExactMatch,Exact,13,Georgia Mountain Community Center,2441 Georgia Mountain Rd,Guntersville,35976,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3702064570046,34.3888295629928
1059,924,ExactMatch,Exact,27,Union Grove Community Center,3935 Union Grove Rd,Union Grove,35175,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4498444804855,34.402631412678
1060,919,ExactMatch,Exact,22,Oleander / Midway Community Center,164 Midway Rd,Union Grove,35175,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5464523300941,34.4389132963274
1061,463,ExactMatch,Approx,18-01,Oak Grove Baptist Church,2800 Reads Mill Road,Glencoe,0,Calhoun,Alabama,A, ,-85.8997046434495,33.8698064028839
1062,698,ExactMatch,Exact,25,RAINBOW CITY FIRE DEPT STATION #2,1400 Riddles Bend Rd,Rainbow City,35906,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0966449307103,33.8895265094391
